"time", "token price", "dai2usdc", "usdc2dai"
1578983088, 1.002004, 0.997561, 1.001621
1578983148, 1.002004, 0.997561, 1.001621
1578983209, 1.002004, 0.997561, 1.001621
1578983269, 1.002004, 0.997561, 1.001621
1578983330, 1.002005, 0.997561, 1.001621
1578983390, 1.002005, 0.997561, 1.001621
1578983451, 1.002005, 0.997561, 1.001621
1578983511, 1.002005, 0.997561, 1.001621
1578983572, 1.002005, 0.997561, 1.001621
1578983632, 1.002005, 0.997561, 1.001621
1578983693, 1.002005, 0.997561, 1.001621
1578983753, 1.002005, 0.997561, 1.001621
1578983814, 1.002005, 0.997561, 1.001621
1578983874, 1.002006, 0.997561, 1.001621
1578983935, 1.002006, 0.997561, 1.001621
1578983995, 1.002006, 0.997561, 1.001621
1578984056, 1.002006, 0.997561, 1.001621
1578984116, 1.002006, 0.997561, 1.001621
1578984177, 1.002006, 0.997561, 1.001621
1578984238, 1.002006, 0.997561, 1.001621
1578984298, 1.002006, 0.997561, 1.001621
1578984359, 1.002006, 0.997561, 1.001621
1578984419, 1.002007, 0.997561, 1.001621
1578984480, 1.002007, 0.997561, 1.001621
1578984540, 1.002007, 0.997561, 1.001621
1578984601, 1.002007, 0.997561, 1.001621
1578984661, 1.002007, 0.997561, 1.001621
1578984722, 1.002007, 0.997561, 1.001621
1578984782, 1.002008, 0.997561, 1.001621
1578984843, 1.002008, 0.997561, 1.001621
1578984903, 1.002008, 0.997561, 1.001621
1578984963, 1.002008, 0.997561, 1.001621
1578985024, 1.002008, 0.997561, 1.001621
1578985085, 1.002008, 0.997561, 1.001621
1578985145, 1.002009, 0.997561, 1.001621
1578985206, 1.002009, 0.997561, 1.001621
1578985266, 1.002009, 0.997561, 1.001621
1578985326, 1.002009, 0.997561, 1.001621
1578985387, 1.002009, 0.997561, 1.001621
1578985448, 1.002009, 0.997561, 1.001621
1578985508, 1.002009, 0.997561, 1.001621
1578985569, 1.002009, 0.997561, 1.001621
1578985629, 1.002009, 0.997561, 1.001621
1578985690, 1.002009, 0.997561, 1.001621
1578985750, 1.002009, 0.997561, 1.001621
1578985811, 1.002010, 0.997561, 1.001621
1578985871, 1.002010, 0.997561, 1.001621
1578985931, 1.002010, 0.997561, 1.001621
1578985992, 1.002010, 0.997561, 1.001621
1578986052, 1.002010, 0.997561, 1.001621
1578986113, 1.002010, 0.997561, 1.001621
1578986174, 1.002010, 0.997561, 1.001621
1578986234, 1.002010, 0.997561, 1.001621
1578986295, 1.002010, 0.997561, 1.001621
1578986355, 1.002011, 0.997561, 1.001621
1578986416, 1.002010, 0.997561, 1.001621
1578986481, 1.002011, 0.997561, 1.001621
1578986542, 1.002011, 0.997561, 1.001621
1578986602, 1.002011, 0.997561, 1.001621
1578986663, 1.002011, 0.997561, 1.001621
1578986724, 1.002011, 0.997561, 1.001621
1578986784, 1.002011, 0.997561, 1.001621
1578986845, 1.002011, 0.997561, 1.001621
1578986905, 1.002011, 0.997561, 1.001621
1578986966, 1.002011, 0.997561, 1.001621
1578987027, 1.002012, 0.997561, 1.001621
1578987087, 1.002012, 0.997561, 1.001621
1578987147, 1.002012, 0.997561, 1.001621
1578987208, 1.002012, 0.997561, 1.001621
1578987268, 1.002012, 0.997561, 1.001621
1578987329, 1.002012, 0.997561, 1.001621
1578987389, 1.002012, 0.997561, 1.001621
1578987450, 1.002012, 0.997561, 1.001621
1578987510, 1.002012, 0.997561, 1.001621
1578987571, 1.002012, 0.997561, 1.001621
1578987631, 1.002012, 0.997561, 1.001621
1578987691, 1.002013, 0.997561, 1.001621
1578987752, 1.002013, 0.997561, 1.001621
1578987812, 1.002013, 0.997561, 1.001621
1578987873, 1.002013, 0.997561, 1.001621
1578987933, 1.002013, 0.997561, 1.001621
1578987994, 1.002013, 0.997561, 1.001621
1578988054, 1.002013, 0.997561, 1.001621
1578988115, 1.002013, 0.997561, 1.001621
1578988175, 1.002013, 0.997561, 1.001621
1578988236, 1.002014, 0.997561, 1.001621
1578988296, 1.002014, 0.997561, 1.001621
1578988357, 1.002014, 0.997561, 1.001621
1578988417, 1.002014, 0.997561, 1.001621
1578988478, 1.002014, 0.997561, 1.001621
1578988538, 1.002014, 0.997561, 1.001621
1578988599, 1.002014, 0.997561, 1.001621
1578988659, 1.002015, 0.997561, 1.001621
1578988720, 1.002015, 0.997561, 1.001621
1578988780, 1.002015, 0.997561, 1.001621
1578988840, 1.002015, 0.997561, 1.001621
1578988901, 1.002015, 0.997561, 1.001621
1578988962, 1.002015, 0.997561, 1.001621
1578989022, 1.002015, 0.997561, 1.001621
1578989083, 1.002015, 0.997561, 1.001621
1578989143, 1.002016, 0.997561, 1.001621
1578989204, 1.002016, 0.997561, 1.001621
1578989264, 1.002016, 0.997561, 1.001621
1578989325, 1.002016, 0.997561, 1.001621
1578989385, 1.002016, 0.997561, 1.001621
1578989446, 1.002016, 0.997561, 1.001621
1578989506, 1.002016, 0.997561, 1.001621
1578989567, 1.002016, 0.997561, 1.001621
1578989627, 1.002017, 0.997561, 1.001621
1578989688, 1.002016, 0.997561, 1.001621
1578989748, 1.002017, 0.997561, 1.001621
1578989809, 1.002017, 0.997561, 1.001621
1578989869, 1.002017, 0.997561, 1.001621
1578989930, 1.002017, 0.997561, 1.001621
1578989991, 1.002017, 0.997561, 1.001621
1578990051, 1.002017, 0.997561, 1.001621
1578990111, 1.002017, 0.997561, 1.001621
1578990172, 1.002018, 0.997561, 1.001621
1578990232, 1.002018, 0.997561, 1.001621
1578990293, 1.002018, 0.997561, 1.001621
1578990353, 1.002018, 0.997561, 1.001621
1578990414, 1.002018, 0.997561, 1.001621
1578990474, 1.002018, 0.997561, 1.001621
1578990535, 1.002018, 0.997561, 1.001621
1578990595, 1.002018, 0.997561, 1.001621
1578990656, 1.002019, 0.997561, 1.001621
1578990716, 1.002019, 0.997561, 1.001621
1578990777, 1.002019, 0.997561, 1.001621
1578990838, 1.002019, 0.997561, 1.001621
1578990898, 1.002019, 0.997561, 1.001621
1578990959, 1.002019, 0.997561, 1.001621
1578991019, 1.002019, 0.997561, 1.001621
1578991080, 1.002019, 0.997561, 1.001621
1578991140, 1.002019, 0.997561, 1.001621
1578991201, 1.002020, 0.997561, 1.001621
1578991262, 1.002020, 0.997561, 1.001621
1578991322, 1.002020, 0.997561, 1.001621
1578991383, 1.002020, 0.997561, 1.001621
1578991443, 1.002020, 0.997561, 1.001621
1578991504, 1.002020, 0.997561, 1.001621
1578991564, 1.002020, 0.997561, 1.001621
1578991625, 1.002020, 0.997561, 1.001621
1578991686, 1.002021, 0.997561, 1.001621
1578991746, 1.002021, 0.997561, 1.001621
1578991807, 1.002021, 0.997561, 1.001621
1578991867, 1.002021, 0.997561, 1.001621
1578991927, 1.002021, 0.997561, 1.001621
1578991988, 1.002021, 0.997561, 1.001621
1578992048, 1.002021, 0.997561, 1.001621
1578992109, 1.002021, 0.997561, 1.001621
1578992169, 1.002022, 0.997561, 1.001621
1578992230, 1.002022, 0.997561, 1.001621
1578992290, 1.002022, 0.997561, 1.001621
1578992351, 1.002022, 0.997561, 1.001621
1578992411, 1.002022, 0.997561, 1.001621
1578992472, 1.002022, 0.997561, 1.001621
1578992532, 1.002022, 0.997561, 1.001621
1578992593, 1.002022, 0.997561, 1.001621
1578992653, 1.002022, 0.997561, 1.001621
1578992714, 1.002023, 0.997561, 1.001621
1578992774, 1.002023, 0.997543, 1.001639
1578992835, 1.002023, 0.997543, 1.001639
1578992896, 1.002023, 0.997543, 1.001639
1578992956, 1.002023, 0.997543, 1.001639
1578993016, 1.002023, 0.997543, 1.001639
1578993077, 1.002024, 0.997543, 1.001639
1578993137, 1.002024, 0.997543, 1.001639
1578993198, 1.002024, 0.997543, 1.001639
1578993258, 1.002024, 0.997543, 1.001639
1578993319, 1.002024, 0.997543, 1.001639
1578993380, 1.002024, 0.997543, 1.001639
1578993440, 1.002024, 0.997543, 1.001639
1578993501, 1.002024, 0.997543, 1.001639
1578993561, 1.002024, 0.997543, 1.001639
1578993622, 1.002025, 0.997543, 1.001639
1578993682, 1.002025, 0.997543, 1.001639
1578993743, 1.002025, 0.997543, 1.001639
1578993803, 1.002025, 0.997543, 1.001639
1578993864, 1.002025, 0.997543, 1.001639
1578993924, 1.002025, 0.997543, 1.001639
1578993985, 1.002025, 0.997543, 1.001639
1578994045, 1.002025, 0.997543, 1.001639
